label,n,mean,median,std,var,cv_pct,min,max,entropy_type,size_kb,algorithm
HIGH_ENTROPY/1KB/Huffman,30,0.6107200000000002,0.57135,0.15695373445261088,0.02463447475862069,25.699786228158704,0.3928,1.1007,HIGH_ENTROPY,1,Huffman
HIGH_ENTROPY/1KB/LZW,30,0.8588666666666668,0.7938000000000001,0.261127802417518,0.06818772919540231,30.40376493256826,0.4815,1.5945,HIGH_ENTROPY,1,LZW
HIGH_ENTROPY/2KB/Huffman,30,0.42793333333333333,0.4144,0.11717256455782417,0.013729409885057473,27.381032378366765,0.2948,0.7114,HIGH_ENTROPY,2,Huffman
HIGH_ENTROPY/2KB/LZW,30,0.6236333333333332,0.5953999999999999,0.15537203701135371,0.02414046988505747,24.914004545088527,0.4282,1.013,HIGH_ENTROPY,2,LZW
HIGH_ENTROPY/5KB/Huffman,30,0.8470966666666667,0.78345,0.21070250556311548,0.04439554585057471,24.873490104999682,0.5661,1.3766,HIGH_ENTROPY,5,Huffman
HIGH_ENTROPY/5KB/LZW,30,1.6144833333333333,1.5314,0.6396670794024533,0.40917397247126447,39.62054399668335,0.9156,4.0823,HIGH_ENTROPY,5,LZW
HIGH_ENTROPY/10KB/Huffman,30,0.6475866666666666,0.6382,0.10152929501935111,0.010308197747126433,15.678101518358076,0.4574,0.8537,HIGH_ENTROPY,10,Huffman
HIGH_ENTROPY/10KB/LZW,30,1.15685,1.1221999999999999,0.14995093852829744,0.022485283965517237,12.962003589773735,0.9706,1.5413,HIGH_ENTROPY,10,LZW
HIGH_ENTROPY/50KB/Huffman,30,2.4268033333333334,2.39155,0.49682575415180097,0.24683582998850578,20.472435789404756,1.8519,4.1749,HIGH_ENTROPY,50,Huffman
HIGH_ENTROPY/50KB/LZW,30,5.27731,5.13155,0.6511848105436419,0.42404165748275874,12.339332170057128,4.4603,7.2487,HIGH_ENTROPY,50,LZW
HIGH_ENTROPY/100KB/Huffman,30,4.340046666666667,4.0699000000000005,0.7012794802867572,0.49179290947126436,16.15833962507524,3.6677,6.8041,HIGH_ENTROPY,100,Huffman
HIGH_ENTROPY/100KB/LZW,30,11.765666666666668,11.0806,3.594432369299952,12.919944057471264,30.55018020766596,8.7182,29.2348,HIGH_ENTROPY,100,LZW
