dataset,entropy_type,size_kb,algorithm,run_id,compress_ms,decompress_ms,input_bytes,compressed_bytes,compression_ratio
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,1,0.922900,0.968600,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,2,0.725100,1.057900,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,3,0.642500,1.027800,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,4,1.087500,1.180200,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,5,0.741500,0.621600,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,6,0.806900,0.746700,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,7,0.449300,0.367400,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,8,0.681800,0.407900,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,9,0.575500,0.351400,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,10,0.759600,0.375100,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,11,0.628900,0.390800,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,12,0.745100,0.261600,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,13,0.722700,0.241400,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,14,0.502100,0.703300,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,15,0.685100,0.794600,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,16,0.835900,0.338400,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,17,0.465600,0.289900,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,18,0.905400,0.383300,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,19,0.943300,0.579200,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,20,1.042000,0.690300,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,21,0.578600,0.443000,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,22,0.624900,0.654800,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,23,0.560800,0.407500,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,24,0.957000,0.379700,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,25,0.558200,0.283300,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,26,0.520500,0.374400,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,27,0.590600,0.518100,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,28,0.743500,0.567700,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,29,0.466500,0.446900,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,Huffman,30,0.915200,0.410400,1024,1861,0.550242
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,1,0.699200,0.512400,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,2,1.414000,0.544800,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,3,0.906600,0.769200,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,4,0.670700,0.533300,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,5,0.654100,0.539500,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,6,0.975900,0.688500,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,7,0.826500,1.055500,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,8,0.946300,0.540000,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,9,0.854400,0.705800,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,10,1.240300,0.684600,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,11,1.013800,0.632800,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,12,0.693600,0.491600,1024,3908,0.262027
DS_HIGH_ENTROPY_1KB.json,HIGH_ENTROPY,1,LZW,13,0.781100,0.509300,1024,3908,0.262027
